,lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
15,0.0001,0.1,256,64,6000,0.1203,0.9732,0.9521,0.1871,0.9611,0.932
1,0.0001,0.1,256,64,6000,0.1162,0.9747,0.9552,0.1835,0.9581,0.9269
2,0.001,0.2,128,64,2000,0.1295,0.97,0.9464,0.2091,0.9577,0.928
13,0.001,0.2,64,16,6000,0.154,0.9637,0.9354,0.208,0.9555,0.9222
20,0.001,0.3,64,64,2000,0.1798,0.959,0.9275,0.2119,0.9511,0.9227
8,0.001,0.3,256,16,6000,0.1674,0.9624,0.9336,0.228,0.9502,0.9139
18,0.001,0.2,64,64,6000,0.0654,0.9868,0.9769,0.2584,0.949,0.9113
12,0.0001,0.1,32,64,6000,0.2188,0.9551,0.9188,0.234,0.9459,0.9065
7,0.001,0.1,64,32,6000,0.0806,0.9828,0.9696,0.2371,0.9455,0.9163
0,0.0001,0.2,256,64,6000,0.1468,0.9681,0.9432,0.2314,0.9451,0.9107
5,0.0001,0.3,32,32,6000,0.2489,0.9477,0.9054,0.2434,0.9438,0.9008
4,0.0,0.3,64,64,4000,0.365,0.9356,0.8796,0.3539,0.9379,0.8846
17,0.0,0.2,64,64,4000,0.3516,0.9393,0.8862,0.3542,0.9374,0.8837
10,0.0001,0.2,32,64,4000,0.2444,0.9491,0.9073,0.2652,0.9345,0.8903
14,0.001,0.3,32,64,8000,0.1115,0.9759,0.957,0.2775,0.9342,0.8953
16,0.0,0.1,128,16,8000,0.3024,0.9402,0.8898,0.3029,0.9338,0.8797
9,0.0,0.3,64,64,2000,0.3747,0.9356,0.8795,0.3795,0.9325,0.8765
3,0.0,0.3,256,32,4000,0.3215,0.9364,0.8816,0.305,0.9325,0.8753
11,0.0,0.2,64,64,4000,0.3609,0.9354,0.8793,0.379,0.9274,0.8687
6,0.0,0.2,64,64,6000,0.3561,0.9352,0.8787,0.3663,0.9258,0.8681
19,0.0,0.3,64,32,2000,0.3768,0.9346,0.8783,0.4131,0.9191,0.8573
