lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
0.0001,0.3,128,32,4000,0.2788,0.9407,0.8911,0.2997,0.9356,0.8832
0.0001,0.3,256,16,6000,0.2814,0.9391,0.8897,0.2984,0.9354,0.8839
0.0001,0.2,32,32,8000,0.2749,0.9432,0.896,0.3101,0.9354,0.8835
0.0,0.2,32,64,8000,0.3582,0.9357,0.8797,0.3742,0.9348,0.8792
0.0001,0.3,256,64,6000,0.2584,0.9441,0.8981,0.3011,0.9343,0.8797
0.0001,0.1,256,32,2000,0.2818,0.9401,0.8901,0.307,0.9342,0.881
0.0,0.2,128,32,4000,0.3282,0.9362,0.8813,0.3444,0.9339,0.8778
0.0001,0.1,32,16,8000,0.2835,0.9408,0.8927,0.3095,0.9336,0.8813
0.0001,0.3,128,32,8000,0.2711,0.9402,0.8915,0.2996,0.9334,0.8795
0.0,0.2,64,64,6000,0.333,0.935,0.8786,0.3444,0.9325,0.8762
0.001,0.1,32,32,2000,0.2618,0.9435,0.8985,0.3084,0.9322,0.8805
0.0,0.3,256,32,8000,0.3011,0.9357,0.8806,0.3136,0.9317,0.8744
0.001,0.2,128,16,4000,0.2151,0.9522,0.9148,0.2831,0.9311,0.8778
0.0,0.1,32,16,2000,0.5733,0.9371,0.8836,0.5776,0.9302,0.8725
0.0,0.1,128,16,8000,0.3113,0.9368,0.883,0.3332,0.9301,0.8719
0.0001,0.2,32,32,4000,0.3034,0.9374,0.8847,0.3165,0.93,0.8767
0.001,0.1,64,16,8000,0.1558,0.964,0.9364,0.3484,0.9298,0.8771
0.0001,0.2,32,32,4000,0.2935,0.9392,0.8879,0.3332,0.9294,0.8742
0.0,0.2,64,64,2000,0.4921,0.9347,0.878,0.5017,0.9292,0.871
0.0,0.3,32,64,8000,0.3716,0.9341,0.8771,0.3922,0.9292,0.8712
0.0001,0.3,256,32,4000,0.2749,0.9417,0.8927,0.3096,0.9289,0.8736
0.0001,0.1,64,64,2000,0.2997,0.9346,0.8793,0.3204,0.9287,0.8733
0.001,0.1,128,16,6000,0.1512,0.9641,0.9363,0.3432,0.9283,0.8736
0.001,0.3,64,32,2000,0.2678,0.9422,0.8948,0.2898,0.9277,0.8736
0.0,0.1,64,32,2000,0.4918,0.9363,0.8814,0.5069,0.9275,0.8677
0.001,0.2,32,32,4000,0.2373,0.9485,0.9086,0.3009,0.9269,0.8757
0.0001,0.3,32,64,4000,0.2961,0.9365,0.8828,0.3519,0.9269,0.871
0.0001,0.2,256,64,4000,0.2688,0.9431,0.8953,0.3184,0.9268,0.8727
0.0,0.3,64,16,8000,0.3401,0.9354,0.8809,0.3766,0.9258,0.8656
0.0,0.2,64,64,2000,0.4492,0.9363,0.8808,0.472,0.9256,0.8662
0.001,0.2,128,16,8000,0.1196,0.9707,0.949,0.3697,0.9251,0.8714
0.0001,0.3,32,16,2000,0.3316,0.9365,0.8826,0.3674,0.9247,0.8643
0.0,0.2,256,32,8000,0.3,0.9374,0.8836,0.3437,0.9229,0.8616
0.001,0.1,64,64,8000,0.0199,0.9966,0.9941,0.7797,0.9227,0.8637
0.0001,0.1,256,64,8000,0.2245,0.9527,0.9139,0.3649,0.9225,0.8695
0.001,0.2,32,64,4000,0.2043,0.9552,0.9193,0.3405,0.9212,0.868
0.001,0.2,256,64,6000,0.0106,0.9985,0.9973,1.1283,0.92,0.8641
0.001,0.3,256,32,8000,0.0314,0.9946,0.9906,0.5063,0.9193,0.8619
0.0,0.1,128,64,4000,0.3258,0.9368,0.8817,0.3828,0.9155,0.8522
0.0001,0.3,32,64,2000,0.3228,0.9354,0.8801,0.3962,0.9077,0.8453
