,lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
12,0.0001,0.3,128,64,4000,0.2758,0.9418,0.8926,0.28,0.9432,0.8958
0,0.0001,0.2,64,64,8000,0.2684,0.9438,0.8974,0.2898,0.9371,0.8852
5,0.0001,0.3,128,16,4000,0.2853,0.9391,0.8886,0.3041,0.9371,0.8856
6,0.0001,0.1,64,32,6000,0.278,0.9401,0.8905,0.3058,0.9356,0.8839
1,0.0001,0.1,128,32,2000,0.2871,0.9388,0.887,0.3159,0.9325,0.878
3,0.0001,0.1,64,16,2000,0.3104,0.9345,0.8803,0.3224,0.9319,0.8757
8,0.0001,0.3,256,16,4000,0.2838,0.9391,0.8894,0.3104,0.9308,0.8785
7,0.0001,0.1,32,64,2000,0.2988,0.9396,0.887,0.3332,0.9299,0.8724
9,0.001,0.2,32,16,8000,0.2068,0.954,0.9183,0.2999,0.9298,0.8765
14,0.001,0.2,64,32,8000,0.1176,0.9745,0.9546,0.368,0.9294,0.877
10,0.0001,0.1,32,64,4000,0.2938,0.9397,0.8889,0.3205,0.9294,0.8724
19,0.0001,0.2,128,16,2000,0.3016,0.9363,0.8832,0.3262,0.9293,0.8719
16,0.0,0.1,256,16,4000,0.3189,0.9359,0.8818,0.3422,0.9284,0.8698
2,0.0001,0.3,256,32,6000,0.2693,0.9424,0.8953,0.3255,0.9281,0.8721
11,0.0,0.3,256,32,2000,0.3369,0.9351,0.8793,0.3596,0.928,0.8698
20,0.0,0.3,32,32,6000,0.4049,0.9358,0.8805,0.4258,0.9278,0.8688
15,0.001,0.3,128,32,6000,0.1347,0.9683,0.9446,0.3128,0.9262,0.8719
18,0.0001,0.3,64,64,6000,0.2814,0.94,0.8896,0.3407,0.9255,0.8676
13,0.0,0.2,128,32,4000,0.3341,0.9348,0.8788,0.3652,0.9248,0.8642
17,0.001,0.1,256,32,8000,0.0083,0.9989,0.9982,1.1829,0.9219,0.8651
4,0.0,0.3,256,32,2000,0.3428,0.9339,0.877,0.3775,0.9218,0.8595
