,lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
10,0.001,0.3,32,32,8000,0.2104,0.9538,0.9161,0.2255,0.9533,0.916
15,0.001,0.2,256,64,4000,0.1047,0.9766,0.9584,0.281,0.951,0.9121
4,0.001,0.1,128,16,8000,0.1351,0.9698,0.9472,0.2334,0.9501,0.9134
0,0.0001,0.2,256,64,6000,0.1938,0.9552,0.9207,0.207,0.9499,0.9139
7,0.001,0.2,128,64,4000,0.1378,0.9681,0.9431,0.2488,0.9492,0.913
9,0.0001,0.3,256,32,8000,0.2185,0.9512,0.9119,0.2165,0.9485,0.9107
5,0.001,0.3,32,64,2000,0.2625,0.9463,0.9014,0.2428,0.9483,0.9079
20,0.001,0.2,64,16,6000,0.2047,0.9536,0.9168,0.2228,0.9479,0.9096
2,0.001,0.3,256,32,2000,0.2266,0.9493,0.9089,0.2381,0.9477,0.9093
12,0.001,0.3,32,64,4000,0.2149,0.9512,0.9113,0.2627,0.9462,0.9052
3,0.001,0.2,128,32,4000,0.1817,0.9604,0.9285,0.2559,0.9443,0.9036
17,0.001,0.1,256,64,8000,0.0192,0.9965,0.9938,0.4225,0.943,0.9013
13,0.001,0.3,128,64,4000,0.1679,0.962,0.9315,0.2742,0.9429,0.8983
19,0.0001,0.3,32,32,6000,0.2962,0.9414,0.8919,0.2753,0.9418,0.8951
11,0.0,0.1,256,32,6000,0.2867,0.944,0.8967,0.2746,0.9412,0.8945
6,0.0001,0.1,64,16,4000,0.272,0.9438,0.8978,0.2629,0.9399,0.8935
8,0.0,0.1,64,64,4000,0.3577,0.938,0.8839,0.3567,0.9377,0.884
18,0.0,0.3,32,64,8000,0.3659,0.9355,0.8795,0.3708,0.9329,0.877
14,0.0,0.2,32,16,8000,0.3652,0.9354,0.8806,0.3799,0.9302,0.8723
16,0.0,0.1,256,16,2000,0.3463,0.9355,0.8808,0.3562,0.9301,0.8719
1,0.0,0.3,64,16,6000,0.3595,0.9366,0.8826,0.3785,0.9297,0.8715
