lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
0.0001,0.1,256,64,6000,0.1146,0.9744,0.9546,0.185,0.962,0.9337
0.0001,0.1,256,64,8000,0.0967,0.9813,0.9668,0.194,0.9589,0.9281
0.001,0.1,64,64,4000,0.0579,0.9869,0.9771,0.2461,0.9586,0.9275
0.001,0.1,32,64,4000,0.1046,0.9767,0.9593,0.1924,0.9554,0.9224
0.001,0.3,32,16,4000,0.1998,0.9557,0.9213,0.1966,0.9553,0.9221
0.0001,0.3,128,32,4000,0.2105,0.953,0.9154,0.1944,0.955,0.923
0.001,0.1,128,32,4000,0.0839,0.9815,0.9674,0.2147,0.9545,0.9207
0.001,0.1,128,32,2000,0.1448,0.9657,0.939,0.1929,0.954,0.9209
0.0001,0.2,256,16,2000,0.2369,0.9484,0.9076,0.213,0.9533,0.9183
0.001,0.3,128,64,4000,0.094,0.9783,0.9614,0.2338,0.9531,0.9181
0.001,0.2,64,32,2000,0.1817,0.9591,0.9266,0.197,0.9526,0.9214
0.001,0.1,32,16,2000,0.2019,0.9551,0.9193,0.2122,0.9525,0.9169
0.0001,0.2,64,16,8000,0.2066,0.9547,0.9192,0.2061,0.9519,0.9181
0.001,0.3,32,16,8000,0.1897,0.9563,0.9221,0.2228,0.9517,0.9148
0.001,0.2,64,32,2000,0.1758,0.9605,0.929,0.2292,0.9513,0.9162
0.001,0.2,32,32,6000,0.1346,0.9717,0.9502,0.2103,0.9511,0.9151
0.0001,0.1,32,32,8000,0.2167,0.9546,0.9189,0.2307,0.9508,0.9147
0.001,0.1,128,32,6000,0.0566,0.9866,0.9769,0.2838,0.9506,0.9151
0.0001,0.2,256,16,2000,0.2405,0.948,0.9056,0.2324,0.9496,0.9098
0.0001,0.2,128,64,2000,0.2258,0.952,0.9131,0.2245,0.949,0.9164
0.001,0.3,64,32,4000,0.1676,0.9624,0.9326,0.2087,0.9487,0.9124
0.001,0.3,32,64,2000,0.1984,0.957,0.9218,0.2304,0.9481,0.9078
0.001,0.3,32,32,8000,0.157,0.9636,0.9346,0.2394,0.9473,0.9089
0.001,0.1,32,32,8000,0.0849,0.9809,0.9667,0.2478,0.9449,0.9077
0.0,0.1,128,64,8000,0.2666,0.9463,0.9008,0.2695,0.9401,0.8933
0.0001,0.1,64,16,2000,0.2842,0.9435,0.8968,0.2801,0.938,0.8881
0.0001,0.3,32,16,4000,0.2872,0.943,0.8963,0.2802,0.9375,0.8885
0.0001,0.2,32,64,2000,0.3445,0.9346,0.8777,0.3307,0.9363,0.8816
0.0001,0.3,32,32,6000,0.2564,0.946,0.9016,0.2428,0.9358,0.895
0.0,0.2,64,32,6000,0.3592,0.9349,0.8791,0.3625,0.9329,0.8762
0.0,0.3,32,32,2000,0.435,0.9386,0.8851,0.4408,0.9325,0.8758
0.0,0.3,256,32,4000,0.3226,0.9375,0.8838,0.3073,0.9324,0.8759
0.0,0.2,128,32,6000,0.3184,0.9372,0.8832,0.3101,0.9315,0.8742
0.0,0.1,32,16,4000,0.3801,0.9358,0.8813,0.3904,0.9314,0.8742
0.0,0.1,128,16,6000,0.3289,0.9344,0.8792,0.3288,0.9307,0.8726
0.0,0.3,64,32,8000,0.3465,0.9367,0.8821,0.3647,0.9286,0.8693
0.0,0.1,32,16,2000,0.4144,0.9362,0.8822,0.4256,0.928,0.8698
0.0,0.2,32,16,2000,0.4698,0.9362,0.8824,0.4774,0.9269,0.8679
0.0,0.3,32,64,2000,0.4761,0.9353,0.8789,0.4947,0.9206,0.858
0.0,0.1,128,32,4000,0.3339,0.9361,0.8811,0.3609,0.9205,0.858
