,lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
8,0.0001,0.2,128,32,8000,0.5612,0.702,0.6919,0.5745,0.6602,0.6786
18,0.0,0.3,128,16,8000,0.6396,0.6229,0.6353,0.6272,0.6579,0.6642
14,0.0,0.3,128,32,6000,0.6373,0.6369,0.6395,0.6154,0.654,0.674
17,0.0001,0.3,32,16,6000,0.6191,0.6558,0.6538,0.5966,0.6528,0.6855
5,0.0,0.2,64,16,8000,0.6501,0.6017,0.622,0.6341,0.6504,0.6634
12,0.0001,0.1,128,32,8000,0.552,0.6885,0.6988,0.5532,0.6499,0.6987
11,0.0,0.1,256,16,4000,0.6239,0.649,0.656,0.5987,0.6464,0.6873
3,0.001,0.3,128,16,4000,0.5603,0.6922,0.687,0.5778,0.6462,0.6722
10,0.0,0.1,128,32,2000,0.6502,0.5945,0.6255,0.6317,0.6445,0.6845
20,0.0,0.1,256,32,6000,0.5998,0.6574,0.6669,0.5774,0.6435,0.6949
15,0.0,0.1,128,32,8000,0.6134,0.649,0.6584,0.5905,0.6419,0.6949
6,0.001,0.2,128,16,8000,0.5145,0.7099,0.7235,0.5736,0.6407,0.6746
4,0.0001,0.1,32,32,8000,0.582,0.6654,0.6782,0.5624,0.6375,0.6988
16,0.001,0.2,32,64,8000,0.5255,0.7056,0.7147,0.5528,0.6261,0.6856
19,0.0,0.3,256,32,4000,0.6306,0.6252,0.6454,0.6054,0.6245,0.6907
9,0.0001,0.1,64,64,4000,0.5747,0.6776,0.6829,0.5741,0.6242,0.6753
13,0.001,0.3,256,64,6000,0.3796,0.8127,0.8189,0.6929,0.6171,0.6548
0,0.0,0.3,128,64,8000,0.6182,0.6399,0.6578,0.5895,0.6141,0.6877
2,0.0,0.1,32,32,6000,0.6651,0.5365,0.602,0.6542,0.6124,0.6548
7,0.0,0.3,32,32,2000,0.6867,0.3026,0.5406,0.6847,0.3334,0.5905
1,0.0,0.3,32,16,2000,0.6889,0.2164,0.5293,0.6816,0.0233,0.5732
