,lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
14,0.001,0.2,32,16,2000,0.6553,0.5505,0.6101,0.6729,0.567,0.5969
4,0.001,0.2,128,16,4000,0.6098,0.6129,0.6603,0.6781,0.5641,0.5948
7,0.001,0.2,64,32,8000,0.4997,0.7291,0.7494,0.7865,0.5617,0.5764
11,0.0001,0.1,256,16,4000,0.6501,0.56,0.6132,0.673,0.5607,0.5898
17,0.0001,0.1,256,64,2000,0.6479,0.5552,0.6143,0.6738,0.5588,0.5964
16,0.001,0.1,32,64,2000,0.6306,0.5951,0.6377,0.6818,0.5533,0.5877
15,0.0001,0.1,32,64,2000,0.6694,0.5277,0.5895,0.674,0.5506,0.5844
10,0.0001,0.2,32,64,4000,0.663,0.5297,0.5956,0.6724,0.5503,0.5838
0,0.001,0.2,64,64,4000,0.5597,0.677,0.7022,0.7427,0.55,0.5718
6,0.0001,0.2,32,64,6000,0.6568,0.548,0.6037,0.6746,0.5473,0.5791
19,0.0001,0.1,64,16,2000,0.6737,0.5065,0.5817,0.676,0.5469,0.5796
20,0.0001,0.3,32,16,4000,0.6723,0.5234,0.5873,0.6728,0.5465,0.5826
5,0.0,0.3,256,16,8000,0.6785,0.4723,0.5699,0.6801,0.5057,0.5655
2,0.0,0.1,256,16,6000,0.6805,0.4692,0.5624,0.6815,0.4818,0.5541
3,0.0,0.2,256,16,8000,0.68,0.4532,0.5673,0.6823,0.4789,0.5564
8,0.0,0.1,128,32,8000,0.6798,0.449,0.5703,0.6842,0.4718,0.5449
9,0.0001,0.1,32,16,2000,0.6832,0.4103,0.5597,0.6855,0.4546,0.5492
12,0.0,0.1,256,16,6000,0.6833,0.4289,0.5612,0.6861,0.4513,0.5473
13,0.0,0.3,64,64,8000,0.6833,0.4267,0.5614,0.6859,0.4441,0.5551
18,0.0,0.1,64,16,6000,0.6879,0.3088,0.5484,0.689,0.3535,0.5506
1,0.0,0.3,32,32,6000,0.6889,0.2093,0.5453,0.6904,0.2388,0.5395
