,lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
2,0.001,0.1,64,64,4000,0.6634,0.5817,0.5913,0.6795,0.5678,0.5558
4,0.0001,0.1,256,16,8000,0.6747,0.5479,0.5704,0.6781,0.5536,0.5553
1,0.001,0.1,32,32,2000,0.6791,0.5591,0.5592,0.6839,0.5486,0.5474
0,0.001,0.2,128,64,8000,0.6364,0.5577,0.626,0.6722,0.5457,0.5908
8,0.0001,0.2,64,16,2000,0.691,0.3098,0.5301,0.6898,0.4993,0.5448
11,0.0,0.1,128,32,6000,0.6846,0.3364,0.5453,0.6868,0.4985,0.564
15,0.001,0.2,64,64,6000,0.6695,0.4585,0.599,0.6669,0.4919,0.576
9,0.0,0.2,256,32,2000,0.6941,0.3323,0.5021,0.6918,0.4862,0.5298
6,0.0001,0.2,64,16,8000,0.6806,0.4883,0.5697,0.6831,0.4728,0.5563
3,0.001,0.1,64,16,8000,0.6686,0.437,0.5809,0.6749,0.4644,0.5735
18,0.001,0.2,256,32,6000,0.6755,0.3974,0.5751,0.678,0.4602,0.5741
12,0.001,0.1,32,16,2000,0.6816,0.463,0.5716,0.6828,0.4417,0.5553
19,0.0,0.2,256,16,6000,0.6865,0.3345,0.5434,0.6887,0.4248,0.5537
17,0.001,0.1,32,16,6000,0.6769,0.417,0.5751,0.6772,0.4162,0.5589
13,0.0,0.2,128,16,6000,0.6906,0.2628,0.5262,0.6908,0.4066,0.5229
5,0.001,0.3,64,16,8000,0.6852,0.4742,0.5561,0.6824,0.3916,0.5558
7,0.0,0.1,128,16,6000,0.6902,0.2753,0.5427,0.6881,0.3667,0.547
10,0.0,0.1,64,32,8000,0.6896,0.2756,0.5344,0.6885,0.3285,0.5482
20,0.0,0.1,128,16,6000,0.687,0.1836,0.5389,0.6891,0.1916,0.5346
16,0.0,0.2,64,16,4000,0.6887,0.2707,0.5243,0.6921,0.1545,0.5196
14,0.0,0.2,256,16,2000,0.6953,0.1865,0.5179,0.6911,0.0202,0.5165
