lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
0.001,0.3,64,64,4000,0.5843,0.6969,0.6981,0.8402,0.6564,0.5463
0.001,0.3,128,32,8000,0.5454,0.7142,0.7285,0.8399,0.6561,0.556
0.0,0.1,32,32,2000,0.6983,0.6372,0.4726,0.6969,0.6482,0.4837
0.0001,0.3,256,16,6000,0.6594,0.5264,0.6236,0.6823,0.6461,0.5673
0.001,0.2,32,64,2000,0.6029,0.6729,0.6748,0.7217,0.6336,0.5591
0.001,0.2,32,16,4000,0.6179,0.6248,0.6584,0.694,0.6335,0.5895
0.0001,0.1,256,64,4000,0.5208,0.7333,0.7375,0.7249,0.633,0.5807
0.001,0.3,256,32,2000,0.5884,0.6136,0.6825,0.7092,0.6319,0.5759
0.001,0.2,64,32,4000,0.582,0.6717,0.6944,0.7568,0.6282,0.5539
0.0001,0.2,32,64,8000,0.6272,0.5995,0.6538,0.6688,0.6255,0.6037
0.001,0.1,32,64,8000,0.5121,0.7499,0.7565,0.7994,0.6228,0.5674
0.001,0.1,64,32,4000,0.5594,0.6888,0.7135,0.7453,0.6213,0.5851
0.0001,0.3,64,32,8000,0.6559,0.4918,0.6147,0.681,0.6156,0.5666
0.0001,0.1,64,32,8000,0.6029,0.6557,0.6877,0.6801,0.5929,0.5765
0.001,0.1,128,16,2000,0.6114,0.6299,0.6627,0.6994,0.5924,0.5711
0.001,0.1,64,32,8000,0.4911,0.7324,0.7615,0.8223,0.5896,0.5567
0.001,0.1,128,32,2000,0.5189,0.7237,0.7541,0.7343,0.5894,0.5756
0.0001,0.2,64,64,4000,0.6591,0.4319,0.6031,0.6767,0.565,0.5817
0.001,0.1,128,16,2000,0.607,0.6041,0.6577,0.7022,0.5625,0.5666
0.0001,0.1,128,16,6000,0.6394,0.5268,0.6424,0.6716,0.5624,0.5935
0.001,0.1,256,16,8000,0.3712,0.815,0.8318,1.0096,0.5573,0.5522
0.0,0.1,64,16,4000,0.6928,0.4236,0.5398,0.6928,0.5333,0.5704
0.0001,0.3,64,64,4000,0.6748,0.0861,0.5373,0.682,0.4168,0.5632
0.0001,0.1,32,32,6000,0.6649,0.3053,0.5706,0.6805,0.3705,0.5502
0.0001,0.2,256,32,2000,0.6767,0.0146,0.5336,0.6846,0.2347,0.5314
0.0001,0.2,32,16,8000,0.6811,0.0166,0.5334,0.6852,0.0459,0.5224
0.0001,0.2,256,16,2000,0.6858,0.0008,0.5305,0.6878,0.0385,0.5208
0.0001,0.2,64,32,2000,0.6874,0.0,0.5255,0.6889,0.0027,0.519
0.0,0.2,256,64,2000,0.6908,0.0,0.5262,0.6917,0.0,0.5171
0.0001,0.2,32,16,8000,0.6833,0.0,0.5491,0.6899,0.0,0.5112
0.0,0.2,32,16,4000,0.6918,0.0,0.5272,0.6929,0.0,0.5148
0.0,0.3,64,32,8000,0.6917,0.0,0.5236,0.6918,0.0,0.5208
0.0,0.1,32,64,8000,0.6909,0.0,0.53,0.6919,0.0,0.5185
0.0001,0.1,64,32,2000,0.6877,0.0,0.527,0.691,0.0,0.5156
0.0,0.1,128,32,2000,0.6913,0.0,0.5289,0.6923,0.0,0.5176
0.0001,0.1,32,16,2000,0.6898,0.0011,0.5291,0.6911,0.0,0.5217
0.0,0.2,128,64,2000,0.6904,0.0,0.5368,0.6922,0.0,0.5159
0.0001,0.1,64,16,2000,0.6895,0.0,0.5248,0.6912,0.0,0.5196
0.0,0.2,32,64,4000,0.6923,0.0069,0.524,0.6926,0.0,0.5131
0.0,0.3,128,32,6000,0.6914,0.0,0.5234,0.6917,0.0,0.5192
