,lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
17,0.001,0.3,128,64,4000,0.5745,0.6982,0.7075,0.9338,0.655,0.5338
1,0.0,0.1,128,16,2000,0.693,0.6248,0.5019,0.693,0.6431,0.4878
3,0.001,0.2,64,64,4000,0.5488,0.6878,0.7137,0.8064,0.6392,0.5675
11,0.001,0.2,32,64,4000,0.5765,0.6532,0.6776,0.7572,0.6353,0.5655
6,0.0001,0.2,128,16,8000,0.6381,0.5979,0.6536,0.6792,0.6322,0.5806
14,0.001,0.3,256,32,4000,0.5554,0.6959,0.7152,0.7959,0.6287,0.5504
7,0.001,0.2,64,32,8000,0.5064,0.7287,0.7519,0.8182,0.6282,0.5594
9,0.001,0.1,32,32,2000,0.5891,0.6795,0.6899,0.6987,0.6103,0.5767
5,0.0001,0.1,256,16,8000,0.5793,0.6763,0.7044,0.6956,0.609,0.5787
12,0.0001,0.1,64,32,6000,0.6359,0.5651,0.6436,0.6751,0.5627,0.5828
10,0.0,0.3,128,16,2000,0.6927,0.1511,0.52,0.6927,0.0031,0.5224
18,0.0,0.1,128,32,2000,0.6921,0.0025,0.5184,0.6923,0.0017,0.5122
2,0.0,0.2,128,32,2000,0.6914,0.0028,0.5379,0.6921,0.0016,0.5225
16,0.0001,0.1,32,64,2000,0.6881,0.0,0.5221,0.6913,0.0,0.5144
19,0.0001,0.3,64,16,4000,0.6914,0.0,0.516,0.6909,0.0,0.5215
0,0.0,0.3,32,16,2000,0.6918,0.0,0.5272,0.6922,0.0,0.5215
15,0.0,0.1,32,32,8000,0.6909,0.0,0.5355,0.6924,0.0,0.5144
13,0.0,0.1,128,16,2000,0.691,0.0,0.5339,0.6926,0.0,0.5143
8,0.0,0.2,32,16,6000,0.6929,0.3465,0.506,0.6929,0.0,0.5157
4,0.0,0.1,64,32,6000,0.6908,0.0,0.5267,0.6914,0.0,0.5245
20,0.0,0.2,32,16,2000,0.692,0.0034,0.5293,0.6923,0.0,0.5219
