,lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
17,0.0001,0.2,256,32,6000,0.6866,0.5529,0.5391,0.6873,0.5497,0.5495
15,0.001,0.2,256,32,4000,0.6933,0.5881,0.5332,0.6892,0.5372,0.5449
20,0.0001,0.2,128,64,8000,0.6804,0.5021,0.5591,0.6811,0.5368,0.5648
19,0.0,0.2,256,16,2000,0.7075,0.4407,0.4983,0.6924,0.536,0.5057
8,0.0,0.2,256,64,6000,0.6913,0.4254,0.5404,0.6871,0.5035,0.5541
16,0.0,0.3,128,16,2000,0.7319,0.4472,0.5253,0.6949,0.4911,0.489
7,0.0001,0.2,128,64,4000,0.684,0.4378,0.5466,0.6845,0.4723,0.5566
12,0.001,0.1,32,64,8000,0.6713,0.4637,0.58,0.6776,0.4581,0.5496
4,0.0001,0.1,128,16,6000,0.6798,0.4505,0.5666,0.6816,0.4566,0.5575
18,0.0001,0.1,64,32,4000,0.6846,0.439,0.5568,0.6852,0.4417,0.551
2,0.001,0.3,64,64,4000,0.6822,0.4619,0.551,0.6839,0.4339,0.5448
0,0.0001,0.1,128,16,4000,0.6861,0.4496,0.5644,0.6856,0.4095,0.5477
6,0.001,0.2,64,16,2000,0.6854,0.3459,0.5496,0.6885,0.3832,0.5477
13,0.0,0.3,256,32,6000,0.6951,0.4034,0.5363,0.691,0.3829,0.5112
9,0.0,0.3,64,32,2000,0.7151,0.4199,0.5086,0.6919,0.3341,0.5099
10,0.0,0.3,64,64,6000,0.7091,0.4213,0.5072,0.6917,0.3104,0.5293
1,0.0001,0.3,64,64,2000,0.6857,0.3351,0.5454,0.6905,0.2888,0.5281
3,0.0,0.1,32,16,2000,0.7104,0.3651,0.5193,0.6926,0.2741,0.5205
11,0.0,0.3,32,16,8000,0.719,0.3651,0.5162,0.6898,0.1894,0.5346
14,0.0001,0.3,64,16,2000,0.6974,0.2906,0.5336,0.6902,0.1806,0.5351
5,0.0001,0.3,32,16,2000,0.6987,0.311,0.5217,0.6908,0.1667,0.5274
