lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
0.001,0.2,256,16,6000,0.688,0.6044,0.5482,0.6853,0.6084,0.5389
0.0,0.2,32,16,6000,0.6957,0.4451,0.485,0.6947,0.6041,0.4959
0.001,0.1,128,64,2000,0.6658,0.5894,0.5827,0.6793,0.5881,0.5506
0.0,0.1,32,64,4000,0.6909,0.4246,0.52,0.6919,0.5576,0.5311
0.0001,0.2,256,64,6000,0.6727,0.5217,0.5827,0.6711,0.5444,0.5804
0.0,0.3,128,64,6000,0.6904,0.3392,0.5264,0.691,0.5396,0.5372
0.001,0.1,256,64,8000,0.5849,0.6074,0.6767,0.7063,0.527,0.5772
0.0,0.3,256,16,8000,0.6896,0.3632,0.5284,0.6902,0.5153,0.5422
0.001,0.3,32,64,8000,0.6698,0.5077,0.5894,0.6759,0.5077,0.5671
0.001,0.1,32,64,2000,0.6683,0.5036,0.5894,0.6779,0.4993,0.5651
0.0001,0.1,32,32,8000,0.6723,0.4884,0.5773,0.6777,0.498,0.5595
0.001,0.1,64,16,4000,0.6756,0.5231,0.5866,0.679,0.4972,0.5725
0.0001,0.1,32,16,4000,0.6846,0.4188,0.5422,0.6858,0.4738,0.5513
0.0001,0.1,128,64,2000,0.6745,0.4659,0.58,0.679,0.4704,0.5709
0.0,0.3,256,64,4000,0.69,0.3904,0.5264,0.6902,0.4702,0.5443
0.0,0.2,128,64,6000,0.6885,0.3255,0.5404,0.6889,0.4546,0.5569
0.0,0.1,128,64,4000,0.6856,0.3188,0.5377,0.6877,0.4506,0.5504
0.0,0.3,32,64,2000,0.6934,0.3707,0.5168,0.6932,0.4457,0.4942
0.001,0.2,256,32,4000,0.674,0.4196,0.5859,0.6751,0.4322,0.5686
0.001,0.1,64,16,8000,0.6678,0.4144,0.5952,0.6793,0.4308,0.5613
0.001,0.2,128,64,2000,0.6719,0.3737,0.5731,0.6769,0.4232,0.5676
0.0001,0.3,256,64,4000,0.6808,0.4383,0.5639,0.6836,0.4056,0.5501
0.001,0.1,32,16,6000,0.6735,0.4185,0.5821,0.6817,0.4054,0.5534
0.0,0.1,256,16,6000,0.6855,0.3378,0.5429,0.6863,0.4044,0.5506
0.001,0.3,64,32,2000,0.6834,0.3693,0.5432,0.6846,0.3997,0.5451
0.0,0.1,64,32,6000,0.6901,0.346,0.5403,0.6883,0.3937,0.5425
0.0,0.2,64,32,8000,0.6898,0.3228,0.5327,0.6911,0.3829,0.525
0.0,0.3,128,16,2000,0.6993,0.3463,0.5038,0.6918,0.3686,0.5258
0.0,0.1,32,32,8000,0.6915,0.2095,0.5184,0.6891,0.2534,0.5363
0.0001,0.3,64,16,6000,0.6863,0.2852,0.5477,0.6893,0.2485,0.5332
0.0,0.1,64,32,2000,0.6915,0.2626,0.527,0.69,0.2419,0.5329
0.0001,0.1,32,16,4000,0.6849,0.2051,0.5491,0.6858,0.2398,0.551
0.0,0.2,128,32,6000,0.6898,0.2188,0.5272,0.6898,0.2077,0.5408
0.0,0.3,64,32,8000,0.6912,0.2533,0.5231,0.6909,0.2004,0.5305
0.0,0.3,64,64,8000,0.6892,0.2605,0.5293,0.6911,0.1877,0.5303
0.0,0.2,32,64,2000,0.6951,0.2654,0.5058,0.6921,0.1547,0.517
0.0,0.2,32,32,8000,0.6897,0.175,0.5327,0.6915,0.0781,0.5226
0.0,0.2,32,32,4000,0.6906,0.192,0.5274,0.6909,0.0612,0.5236
0.0,0.1,32,16,4000,0.691,0.1875,0.5327,0.6919,0.0433,0.5217
0.0,0.1,128,16,2000,0.691,0.1186,0.5258,0.6913,0.026,0.5205
